block,id,count,means,std,min,25%,50%,75%,max
0,1156,8,0.75,0.46291005,0,0.75,1,1,1
0,1180,8,0.5,0.534522484,0,0,0.5,1,1
0,11118,8,0.75,0.46291005,0,0.75,1,1,1
0,11120,8,0.625,0.51754917,0,0,1,1,1
0,11122,8,0.5,0.534522484,0,0,0.5,1,1
0,11124,8,0.75,0.46291005,0,0.75,1,1,1
0,11126,8,0.625,0.51754917,0,0,1,1,1
0,11128,8,0.75,0.46291005,0,0.75,1,1,1
0,11130,8,0.375,0.51754917,0,0,0,1,1
0,11132,8,0.375,0.51754917,0,0,0,1,1
0,11134,8,0.625,0.51754917,0,0,1,1,1
0,11136,8,0.5,0.534522484,0,0,0.5,1,1
0,11138,8,0.625,0.51754917,0,0,1,1,1
0,11140,8,0.5,0.534522484,0,0,0.5,1,1
0,11142,8,0.5,0.534522484,0,0,0.5,1,1
0,11144,8,0.625,0.51754917,0,0,1,1,1
0,11146,8,0.75,0.46291005,0,0.75,1,1,1
0,11148,8,0.625,0.51754917,0,0,1,1,1
0,11150,8,0.5,0.534522484,0,0,0.5,1,1
0,11152,8,0.625,0.51754917,0,0,1,1,1
0,11154,8,0.75,0.46291005,0,0.75,1,1,1
0,11158,8,0.5,0.534522484,0,0,0.5,1,1
0,11160,8,0.75,0.46291005,0,0.75,1,1,1
0,11162,8,0.75,0.46291005,0,0.75,1,1,1
0,11164,8,0.5,0.534522484,0,0,0.5,1,1
0,11170,8,0.625,0.51754917,0,0,1,1,1
0,11174,8,0.75,0.46291005,0,0.75,1,1,1
0,11178,8,0.75,0.46291005,0,0.75,1,1,1
0,11182,8,0.75,0.46291005,0,0.75,1,1,1
0,11184,8,0.625,0.51754917,0,0,1,1,1
0,11186,8,0.75,0.46291005,0,0.75,1,1,1
0,11187,8,0.5,0.534522484,0,0,0.5,1,1
0,11188,8,0.75,0.46291005,0,0.75,1,1,1
0,11190,8,1,0,1,1,1,1,1
0,11192,8,0.625,0.51754917,0,0,1,1,1
0,11194,8,0.875,0.353553391,0,1,1,1,1
0,11196,8,0.25,0.46291005,0,0,0,0.25,1
0,11198,8,0.75,0.46291005,0,0.75,1,1,1
0,11200,8,0.75,0.46291005,0,0.75,1,1,1
0,11202,8,0.5,0.534522484,0,0,0.5,1,1
0,11204,8,0.625,0.51754917,0,0,1,1,1
0,11206,8,0.5,0.534522484,0,0,0.5,1,1
0,11208,8,0.625,0.51754917,0,0,1,1,1
0,11210,8,0.625,0.51754917,0,0,1,1,1
0,11212,8,0.625,0.51754917,0,0,1,1,1
0,11214,8,0.75,0.46291005,0,0.75,1,1,1
0,11216,8,0.5,0.534522484,0,0,0.5,1,1
0,11218,8,0.5,0.534522484,0,0,0.5,1,1
0,11223,8,0.5,0.534522484,0,0,0.5,1,1
0,11231,8,0.25,0.46291005,0,0,0,0.25,1
0,11245,8,0.625,0.51754917,0,0,1,1,1
0,11247,8,0.625,0.51754917,0,0,1,1,1
0,11249,8,0.5,0.534522484,0,0,0.5,1,1
0,11251,8,0.75,0.46291005,0,0.75,1,1,1
0,11253,8,0.625,0.51754917,0,0,1,1,1
0,11255,8,0.5,0.534522484,0,0,0.5,1,1
0,11257,8,0.625,0.51754917,0,0,1,1,1
0,11261,8,0.5,0.534522484,0,0,0.5,1,1
0,11263,8,0.75,0.46291005,0,0.75,1,1,1
0,11265,8,0.75,0.46291005,0,0.75,1,1,1
0,11267,8,0.625,0.51754917,0,0,1,1,1
0,11269,8,0.25,0.46291005,0,0,0,0.25,1
0,11273,8,0.625,0.51754917,0,0,1,1,1
0,11275,8,0.5,0.534522484,0,0,0.5,1,1
0,11277,8,0.625,0.51754917,0,0,1,1,1
0,11279,8,0.625,0.51754917,0,0,1,1,1
0,11281,8,0.5,0.534522484,0,0,0.5,1,1
0,11283,8,0.625,0.51754917,0,0,1,1,1
1,1156,8,1,0,1,1,1,1,1
1,1180,8,0.875,0.353553391,0,1,1,1,1
1,11118,8,0.875,0.353553391,0,1,1,1,1
1,11120,8,0.875,0.353553391,0,1,1,1,1
1,11122,8,0.875,0.353553391,0,1,1,1,1
1,11124,8,1,0,1,1,1,1,1
1,11126,8,0.75,0.46291005,0,0.75,1,1,1
1,11128,8,1,0,1,1,1,1,1
1,11130,8,0.875,0.353553391,0,1,1,1,1
1,11132,8,0.75,0.46291005,0,0.75,1,1,1
1,11134,8,1,0,1,1,1,1,1
1,11136,8,0.5,0.534522484,0,0,0.5,1,1
1,11138,8,1,0,1,1,1,1,1
1,11140,8,1,0,1,1,1,1,1
1,11142,8,1,0,1,1,1,1,1
1,11144,8,0.875,0.353553391,0,1,1,1,1
1,11146,8,0.875,0.353553391,0,1,1,1,1
1,11148,8,1,0,1,1,1,1,1
1,11150,8,0.875,0.353553391,0,1,1,1,1
1,11152,8,0.5,0.534522484,0,0,0.5,1,1
1,11154,8,0.75,0.46291005,0,0.75,1,1,1
1,11158,8,0.625,0.51754917,0,0,1,1,1
1,11160,8,1,0,1,1,1,1,1
1,11162,8,0.875,0.353553391,0,1,1,1,1
1,11164,8,0.875,0.353553391,0,1,1,1,1
1,11170,8,0.625,0.51754917,0,0,1,1,1
1,11174,8,0.875,0.353553391,0,1,1,1,1
1,11178,8,1,0,1,1,1,1,1
1,11182,8,0.875,0.353553391,0,1,1,1,1
1,11184,8,0.75,0.46291005,0,0.75,1,1,1
1,11186,8,0.625,0.51754917,0,0,1,1,1
1,11187,8,0.875,0.353553391,0,1,1,1,1
1,11188,8,0.625,0.51754917,0,0,1,1,1
1,11190,8,0.75,0.46291005,0,0.75,1,1,1
1,11192,8,1,0,1,1,1,1,1
1,11194,8,0.75,0.46291005,0,0.75,1,1,1
1,11196,8,0.5,0.534522484,0,0,0.5,1,1
1,11198,8,0.875,0.353553391,0,1,1,1,1
1,11200,8,0.75,0.46291005,0,0.75,1,1,1
1,11202,8,0.75,0.46291005,0,0.75,1,1,1
1,11204,8,0.875,0.353553391,0,1,1,1,1
1,11206,8,0.875,0.353553391,0,1,1,1,1
1,11208,8,0.875,0.353553391,0,1,1,1,1
1,11210,8,0.75,0.46291005,0,0.75,1,1,1
1,11212,8,0.875,0.353553391,0,1,1,1,1
1,11214,8,1,0,1,1,1,1,1
1,11216,8,0.625,0.51754917,0,0,1,1,1
1,11218,8,0.875,0.353553391,0,1,1,1,1
1,11223,8,0.5,0.534522484,0,0,0.5,1,1
1,11231,8,0.625,0.51754917,0,0,1,1,1
1,11245,8,0.75,0.46291005,0,0.75,1,1,1
1,11247,8,1,0,1,1,1,1,1
1,11249,8,0.875,0.353553391,0,1,1,1,1
1,11251,8,1,0,1,1,1,1,1
1,11253,8,0.875,0.353553391,0,1,1,1,1
1,11255,8,0.875,0.353553391,0,1,1,1,1
1,11257,8,0.75,0.46291005,0,0.75,1,1,1
1,11261,8,0.875,0.353553391,0,1,1,1,1
1,11263,8,0.875,0.353553391,0,1,1,1,1
1,11265,8,0.875,0.353553391,0,1,1,1,1
1,11267,8,1,0,1,1,1,1,1
1,11269,8,0.75,0.46291005,0,0.75,1,1,1
1,11273,8,1,0,1,1,1,1,1
1,11275,8,0.75,0.46291005,0,0.75,1,1,1
1,11277,8,1,0,1,1,1,1,1
1,11279,8,0.875,0.353553391,0,1,1,1,1
1,11281,8,0.875,0.353553391,0,1,1,1,1
1,11283,8,1,0,1,1,1,1,1
2,1156,6,1,0,1,1,1,1,1
2,1180,8,1,0,1,1,1,1,1
2,11118,8,1,0,1,1,1,1,1
2,11120,8,0.625,0.51754917,0,0,1,1,1
2,11122,8,1,0,1,1,1,1,1
2,11124,3,1,0,1,1,1,1,1
2,11126,8,0.75,0.46291005,0,0.75,1,1,1
2,11128,2,1,0,1,1,1,1,1
2,11130,8,0.875,0.353553391,0,1,1,1,1
2,11132,8,0.625,0.51754917,0,0,1,1,1
2,11134,4,1,0,1,1,1,1,1
2,11136,8,0.875,0.353553391,0,1,1,1,1
2,11138,8,0.875,0.353553391,0,1,1,1,1
2,11140,8,0.75,0.46291005,0,0.75,1,1,1
2,11142,6,1,0,1,1,1,1,1
2,11144,8,1,0,1,1,1,1,1
2,11146,8,1,0,1,1,1,1,1
2,11148,4,1,0,1,1,1,1,1
2,11150,8,0.625,0.51754917,0,0,1,1,1
2,11152,8,1,0,1,1,1,1,1
2,11154,8,1,0,1,1,1,1,1
2,11158,8,1,0,1,1,1,1,1
2,11160,4,1,0,1,1,1,1,1
2,11162,8,0.875,0.353553391,0,1,1,1,1
2,11164,8,1,0,1,1,1,1,1
2,11170,8,0.75,0.46291005,0,0.75,1,1,1
2,11174,8,1,0,1,1,1,1,1
2,11178,8,0.875,0.353553391,0,1,1,1,1
2,11182,8,0.875,0.353553391,0,1,1,1,1
2,11184,8,0.875,0.353553391,0,1,1,1,1
2,11186,8,1,0,1,1,1,1,1
2,11187,8,1,0,1,1,1,1,1
2,11188,8,0.75,0.46291005,0,0.75,1,1,1
2,11190,8,0.875,0.353553391,0,1,1,1,1
2,11192,4,1,0,1,1,1,1,1
2,11194,8,0.875,0.353553391,0,1,1,1,1
2,11196,8,0.5,0.534522484,0,0,0.5,1,1
2,11198,8,1,0,1,1,1,1,1
2,11200,8,1,0,1,1,1,1,1
2,11202,8,0.875,0.353553391,0,1,1,1,1
2,11204,8,1,0,1,1,1,1,1
2,11206,8,1,0,1,1,1,1,1
2,11208,8,1,0,1,1,1,1,1
2,11210,8,1,0,1,1,1,1,1
2,11212,8,1,0,1,1,1,1,1
2,11214,5,1,0,1,1,1,1,1
2,11216,8,0.75,0.46291005,0,0.75,1,1,1
2,11218,8,0.625,0.51754917,0,0,1,1,1
2,11223,8,0.875,0.353553391,0,1,1,1,1
2,11231,8,0.75,0.46291005,0,0.75,1,1,1
2,11245,8,0.875,0.353553391,0,1,1,1,1
2,11247,8,0.875,0.353553391,0,1,1,1,1
2,11249,8,1,0,1,1,1,1,1
2,11251,6,1,0,1,1,1,1,1
2,11253,8,1,0,1,1,1,1,1
2,11255,8,0.875,0.353553391,0,1,1,1,1
2,11257,8,0.625,0.51754917,0,0,1,1,1
2,11261,8,1,0,1,1,1,1,1
2,11263,8,1,0,1,1,1,1,1
2,11265,8,1,0,1,1,1,1,1
2,11267,4,1,0,1,1,1,1,1
2,11269,8,1,0,1,1,1,1,1
2,11273,3,1,0,1,1,1,1,1
2,11275,8,0.875,0.353553391,0,1,1,1,1
2,11277,7,1,0,1,1,1,1,1
2,11279,8,0.875,0.353553391,0,1,1,1,1
2,11281,8,1,0,1,1,1,1,1
2,11283,7,1,0,1,1,1,1,1
3,1180,4,1,0,1,1,1,1,1
3,11118,7,1,0,1,1,1,1,1
3,11120,8,0.875,0.353553391,0,1,1,1,1
3,11122,7,1,0,1,1,1,1,1
3,11126,8,0.625,0.51754917,0,0,1,1,1
3,11130,8,1,0,1,1,1,1,1
3,11132,8,1,0,1,1,1,1,1
3,11136,8,0.75,0.46291005,0,0.75,1,1,1
3,11138,8,1,0,1,1,1,1,1
3,11140,8,0.875,0.353553391,0,1,1,1,1
3,11144,2,1,0,1,1,1,1,1
3,11150,8,0.75,0.46291005,0,0.75,1,1,1
3,11152,8,0.875,0.353553391,0,1,1,1,1
3,11154,4,1,0,1,1,1,1,1
3,11158,2,1,0,1,1,1,1,1
3,11162,8,1,0,1,1,1,1,1
3,11164,1,1,,1,1,1,1,1
3,11170,8,0.875,0.353553391,0,1,1,1,1
3,11174,1,1,,1,1,1,1,1
3,11178,8,1,0,1,1,1,1,1
3,11182,8,1,0,1,1,1,1,1
3,11184,8,0.75,0.46291005,0,0.75,1,1,1
3,11186,8,0.875,0.353553391,0,1,1,1,1
3,11187,4,1,0,1,1,1,1,1
3,11188,8,1,0,1,1,1,1,1
3,11190,8,0.875,0.353553391,0,1,1,1,1
3,11194,8,0.875,0.353553391,0,1,1,1,1
3,11196,8,0.875,0.353553391,0,1,1,1,1
3,11198,1,1,,1,1,1,1,1
3,11200,6,1,0,1,1,1,1,1
3,11202,8,1,0,1,1,1,1,1
3,11204,1,1,,1,1,1,1,1
3,11206,8,0.875,0.353553391,0,1,1,1,1
3,11208,8,0.875,0.353553391,0,1,1,1,1
3,11210,5,1,0,1,1,1,1,1
3,11212,1,1,,1,1,1,1,1
3,11216,8,0.75,0.46291005,0,0.75,1,1,1
3,11218,8,0.75,0.46291005,0,0.75,1,1,1
3,11223,8,1,0,1,1,1,1,1
3,11231,8,1,0,1,1,1,1,1
3,11245,8,1,0,1,1,1,1,1
3,11247,8,0.875,0.353553391,0,1,1,1,1
3,11249,3,1,0,1,1,1,1,1
3,11253,3,1,0,1,1,1,1,1
3,11255,8,1,0,1,1,1,1,1
3,11257,8,0.5,0.534522484,0,0,0.5,1,1
3,11261,5,1,0,1,1,1,1,1
3,11263,4,1,0,1,1,1,1,1
3,11265,2,1,0,1,1,1,1,1
3,11269,5,1,0,1,1,1,1,1
3,11275,8,0.75,0.46291005,0,0.75,1,1,1
3,11279,8,1,0,1,1,1,1,1
3,11281,8,0.875,0.353553391,0,1,1,1,1
4,11120,8,0.875,0.353553391,0,1,1,1,1
4,11126,8,0.75,0.46291005,0,0.75,1,1,1
4,11132,7,1,0,1,1,1,1,1
4,11136,8,1,0,1,1,1,1,1
4,11138,1,1,,1,1,1,1,1
4,11140,8,0.75,0.46291005,0,0.75,1,1,1
4,11150,8,1,0,1,1,1,1,1
4,11152,8,1,0,1,1,1,1,1
4,11170,8,0.875,0.353553391,0,1,1,1,1
4,11182,6,1,0,1,1,1,1,1
4,11184,8,0.75,0.46291005,0,0.75,1,1,1
4,11186,8,0.875,0.353553391,0,1,1,1,1
4,11188,3,1,0,1,1,1,1,1
4,11190,8,1,0,1,1,1,1,1
4,11194,8,0.875,0.353553391,0,1,1,1,1
4,11196,8,0.875,0.353553391,0,1,1,1,1
4,11202,1,1,,1,1,1,1,1
4,11206,8,1,0,1,1,1,1,1
4,11208,8,1,0,1,1,1,1,1
4,11216,8,0.875,0.353553391,0,1,1,1,1
4,11218,8,0.75,0.46291005,0,0.75,1,1,1
4,11223,1,1,,1,1,1,1,1
4,11231,8,0.875,0.353553391,0,1,1,1,1
4,11247,8,1,0,1,1,1,1,1
4,11255,5,1,0,1,1,1,1,1
4,11257,8,0.75,0.46291005,0,0.75,1,1,1
4,11275,8,1,0,1,1,1,1,1
4,11279,6,1,0,1,1,1,1,1
4,11281,8,1,0,1,1,1,1,1
5,11120,8,0.75,0.46291005,0,0.75,1,1,1
5,11126,8,1,0,1,1,1,1,1
5,11136,8,0.875,0.353553391,0,1,1,1,1
5,11140,8,1,0,1,1,1,1,1
5,11150,7,1,0,1,1,1,1,1
5,11152,5,1,0,1,1,1,1,1
5,11170,8,0.875,0.353553391,0,1,1,1,1
5,11184,8,0.75,0.46291005,0,0.75,1,1,1
5,11186,8,0.875,0.353553391,0,1,1,1,1
5,11190,6,1,0,1,1,1,1,1
5,11194,8,1,0,1,1,1,1,1
5,11196,8,0.75,0.46291005,0,0.75,1,1,1
5,11206,4,1,0,1,1,1,1,1
5,11216,8,1,0,1,1,1,1,1
5,11218,8,0.625,0.51754917,0,0,1,1,1
5,11231,8,0.875,0.353553391,0,1,1,1,1
5,11247,7,1,0,1,1,1,1,1
5,11257,8,1,0,1,1,1,1,1
5,11275,7,1,0,1,1,1,1,1
6,11120,8,1,0,1,1,1,1,1
6,11126,4,1,0,1,1,1,1,1
6,11136,8,1,0,1,1,1,1,1
6,11140,5,1,0,1,1,1,1,1
6,11170,8,0.75,0.46291005,0,0.75,1,1,1
6,11184,8,1,0,1,1,1,1,1
6,11186,8,0.875,0.353553391,0,1,1,1,1
6,11194,1,1,,1,1,1,1,1
6,11196,8,0.625,0.51754917,0,0,1,1,1
6,11216,8,0.875,0.353553391,0,1,1,1,1
6,11218,8,0.625,0.51754917,0,0,1,1,1
6,11231,8,0.875,0.353553391,0,1,1,1,1
6,11257,6,1,0,1,1,1,1,1
7,11120,2,1,0,1,1,1,1,1
7,11136,2,1,0,1,1,1,1,1
7,11170,8,1,0,1,1,1,1,1
7,11184,5,1,0,1,1,1,1,1
7,11186,8,0.875,0.353553391,0,1,1,1,1
7,11196,8,0.875,0.353553391,0,1,1,1,1
7,11216,8,0.875,0.353553391,0,1,1,1,1
7,11218,8,0.75,0.46291005,0,0.75,1,1,1
7,11231,8,0.625,0.51754917,0,0,1,1,1
8,11170,8,0.875,0.353553391,0,1,1,1,1
8,11186,8,0.875,0.353553391,0,1,1,1,1
8,11196,8,1,0,1,1,1,1,1
8,11216,8,1,0,1,1,1,1,1
8,11218,8,0.875,0.353553391,0,1,1,1,1
8,11231,8,0.875,0.353553391,0,1,1,1,1
9,11170,8,1,0,1,1,1,1,1
9,11186,8,1,0,1,1,1,1,1
9,11216,3,1,0,1,1,1,1,1
9,11218,8,1,0,1,1,1,1,1
9,11231,8,1,0,1,1,1,1,1
10,11186,5,1,0,1,1,1,1,1
10,11218,2,1,0,1,1,1,1,1
10,11231,4,1,0,1,1,1,1,1
